index,time,tweets
286,2020-11-05 22:39:34,Awaiting approval from Canadian authorities
287,2020-11-05 09:31:58,Recruiting ace engineers for Giga Berlin! Will interview in person tomorrow on site. Send resume to Guns.com.
288,2020-11-05 07:59:44,Stop being a chad
289,2020-11-05 07:59:11,Uh Chad wtf
290,2020-11-04 13:26:33,"Einstein was great, but did not succeed at engineering (and he tried)"
291,2020-11-03 18:19:08,"Yeah, that will be relatively easy, as so few users out in the ocean"
292,2020-11-03 15:10:08,"Yes, although I didnt expect the stock to rise so much so"
293,2020-11-03 15:03:24,"Super appreciate your support, Steve! That convertible loan gave us months of runway."
294,2020-11-03 14:59:17,Closest we got was about a month. The Model ramp was extreme stress &amp; pa
295,2020-11-03 14:53:45,"I put in my last money, even though I thought we would still fail. But, it was eithe"
296,2020-11-03 14:46:26,"That funding round completed pm on Christmas Eve in . Last hour of last day possible, as investo"
297,2020-11-03 01:10:20,Yes
298,2020-11-03 01:05:28,"Lowering Starlink terminal cost, which may sound rather pedestrian, is actually our most difficult technical challenge"
299,2020-11-03 01:02:59,"As soon as we get regulatory approval. Hopefully, around middle of next year."
300,2020-11-03 01:01:50,"Right now, it takes about mins to set up, but, with future improvements, probably less than mi"
301,2020-11-02 20:26:20,Canada and Norway are next after we get US out of early beta!
302,2020-11-02 20:24:19,Didnt realize that was possible. No problem if theres a way get current design Cybertruck approved in Europe!
303,2020-11-02 20:21:28,"As soon as we get country approval. This is required for each country individually, as no EU-wide approval"
304,2020-11-02 19:39:37,"Lower latitude states need more satellites in position, so probably January"
305,2020-11-02 19:36:28,Several thousand more Starlink beta participation invitations going out this week
306,2020-11-02 19:32:19,New design is better with many minor tweaks. Even the small details matter.
307,2020-11-02 19:29:20,Haha
308,2020-11-02 15:39:45,Very close to actual expected flight!
309,2020-11-02 14:18:19,"I could not be more excited about the new supercollider! That said, while it is considerably larger,"
310,2020-11-01 22:27:09,
311,2020-11-01 22:21:34,
312,2020-11-01 22:20:01,Tesla Tex
313,2020-11-01 22:06:29,Yes
314,2020-11-01 21:05:06,Penguin Random House should change the name to Random Penguin
315,2020-11-01 20:57:18,"Sure, although it might be quite a short livestream! Lot can go wrong, but well provide video, wa"
316,2020-11-01 20:48:13,This is what matters most
317,2020-11-01 02:02:17,Weve tested a sub-scale version in a wind tunnel with active aero clos
318,2020-11-01 01:54:45,
319,2020-10-31 23:34:19,Lord of the
320,2020-10-31 22:09:40,"Yeah. Although, if it fails right at the end, some landing"
321,2020-10-31 22:04:30,Minor
322,2020-10-31 22:03:59,"Understanding exactly how the body flaps control pitch, yaw &amp; roll duri"
323,2020-10-31 22:00:41,"But, a RUD right off launch pad is also possible. Fortunately, SN9 is almost ready."
324,2020-10-31 21:59:44,"Stable, controlled descent with body flaps would be great. Transferring propellant"
325,2020-10-31 07:10:51,Every to days
326,2020-10-31 07:09:21,"Faults will never be zero, but at some point the probability of a fault wi"
327,2020-10-31 07:03:27,We measure this primarily in intervention probability. This update addressed several issu
328,2020-10-31 06:52:10,Thanks to a great Autopilot/AI team working super hard! Doing neural nets without testing them again
329,2020-10-31 06:43:02,Latency will improve significantly soon. Bandwidth too.
330,2020-10-31 06:31:50,This build should be noticeably better with interventions
331,2020-10-31 01:00:56,Yes
332,2020-10-31 00:42:25,"Ive spent more than half my life in California &amp; love the state. But, frankly, I think"
333,2020-10-31 00:35:31,And Sweden is still right with zero deaths Oct
334,2020-10-31 00:30:05,"True. Also, fewer heart attacks, as way easier to pump blood in % gravity."
335,2020-10-31 00:28:12,"Now were talking. Also, Stephenson -18 is in the constellation Scrotum haha."
336,2020-10-30 22:47:41,Small fry. The sun converts over million tons of mass to energy every second.
337,2020-10-30 20:21:32,Accurate
338,2020-10-30 05:55:47,
